BLAS,13393,54.8
JUSTO,13379,59.0
ROMAN,13292,45.5
GUSTAVO,13220,36.6
JOSE JUAN,13137,43.0
SANTOS,13019,56.4
JUAN BAUTISTA,13013,53.2
MANUEL ANGEL,12858,42.1
LUIS FERNANDO,12740,41.1
ARMANDO,12724,47.6
SAID,12706,34.4
ALEXANDER,12493,23.6
DAMIAN,12463,38.6
GINES,12384,50.3
ALONSO,12377,37.6
LUIS MANUEL,12376,38.6
EMILIANO,12241,59.3
IZAN,12219,4.1
GUILLEM,12191,15.8
CARLOS JAVIER,12079,34.4
ENRIC,12039,38.1
FAUSTINO,11946,60.2
PEDRO LUIS,11922,43.3
SERAFIN,11894,57.6
ION,11855,38.2
XABIER,11795,22.1
GORKA,11769,23.2
ANDER,11711,16.0
FERRAN,11688,25.0
RACHID,11562,32.6
JUAN MARIA,11559,48.3
GHEORGHE,11552,42.4
MARCO,11524,15.8
JOSE JOAQUIN,11475,43.2
VASILE,11339,40.1
IOAN,11165,41.8
LEONARDO,11056,43.9
ABRAHAM,11027,21.8
FIDEL,10910,55.2
JOSE DAVID,10885,26.9
EDUARD,10878,29.3
MAXIMO,10876,56.0
RAMIRO,10766,53.8
SAUL,10758,16.6
AMADOR,10673,56.2
ROGELIO,10428,56.2
MARTI,10254,18.8
CLAUDIO,10207,51.6
LUCIANO,10197,57.4
JULIO CESAR,10193,38.5
LUIS MARIA,10182,50.2
LUIS ANTONIO,10114,44.0
JOSE ANDRES,10027,40.7
FRANCISCO ANTONIO,9974,40.8
FLORENTINO,9955,62.1
JESUS ANGEL,9913,41.5
EMILIO JOSE,9908,31.4
MODESTO,9870,60.0
YOUSSEF,9779,23.3
MUSTAPHA,9621,36.6
LUIS ANGEL,9566,41.8
SIMON,9426,43.5
MANUEL ANTONIO,9417,44.3
JOAQUIM,9407,47.5
PAULINO,9289,60.0
ILDEFONSO,9242,54.9
ALI,9166,32.9
AVELINO,9121,61.2
EDGAR,9096,19.2
ALEIX,9063,13.5
SATURNINO,9062,63.6
CELESTINO,9040,60.3
CONSTANTINO,8980,57.6
YERAY,8967,13.1
ELADIO,8880,59.2
PEDRO MANUEL,8873,39.6
ALEXANDRE,8825,24.5
ADAM,8786,8.3
JUAN DIOS,8780,45.6
JAIRO,8779,18.5
FRANCISCO MIGUEL,8736,36.8
JOSE FERNANDO,8692,43.1
IGOR,8675,29.4
JULEN,8673,14.6
RUFINO,8656,62.0
CONSTANTIN,8523,39.7
LEANDRO,8389,48.7
JUAN VICENTE,8333,44.1
EZEQUIEL,8331,35.3
JACOBO,8216,25.7
ENEKO,8201,15.9
MANUEL JOSE,8188,43.4
HASSAN,8178,37.2
CARLOS MANUEL,8170,37.1
ROBERT,7997,35.7
ANTONIO LUIS,7903,41.4
ANDREU,7866,28.0
PEDRO MARIA,7818,52.2
ALEXIS,7800,22.4
ANTONIO MIGUEL,7795,38.9
